$1$ , $ 1 \cdot10^{10}$ , $1.00000\cdot 10^{0}$ , $1.23228\cdot 10^{0}$ , $3.96481\cdot 10^{0}$ , $2.08282\cdot 10^{1}$ , $1.51224\cdot 10^{2}$ , $1.30475\cdot 10^{3}$ 
$1\cdot10^{10}$ , $ 2\cdot10^{10}$ , $1.63137 \cdot 10^{-5}$ ,  $3.77870 \cdot 10^{-4}$ ,  $8.75253\cdot 10^{-3}$ , $2.02733\cdot 10^{-1}$ , $4.69587\cdot 10^{0}$ , $1.08770\cdot 10^{2}$ 
$19\ 035\ 709\ 163$ , $ 2\cdot10^{10}$ , $1.13110 \cdot 10^{-5}$ , $2.67726 \cdot 10^{-4}$ , $6.33697 \cdot 10^{-3}$ , $1.49993\cdot 10^{-1}$ , $3.55028\cdot 10^{0}$ , $8.40336\cdot 10^{1}$ 
 $2\cdot10^{10}$ , $ 3\cdot10^{10}$ , $ 1.03687 \cdot 10^{-5}$ , $ 2.46002 \cdot 10^{-4}$ , $ 5.83648 \cdot 10^{-3}$ , $ 1.38472 \cdot 10^{-1}$ , $ 3.28531 \cdot 10^{0}$ , $ 7.79452 \cdot 10^{1}$ 
$3\cdot10^{10}$ , $ 4\cdot10^{10}$ , $ 8.08543 \cdot 10^{-6}$ , $ 1.95082 \cdot 10^{-4}$ , $ 4.72265 \cdot 10^{-3}$ , $ 1.14540 \cdot 10^{-1}$ , $ 2.77796 \cdot 10^{0}$ , $ 6.73747 \cdot 10^{1}$ 
$4\cdot10^{10}$ , $ 5\cdot10^{10}$ , $ 7.11201 \cdot 10^{-6}$ , $ 1.75016 \cdot 10^{-4}$ , $ 4.30688 \cdot 10^{-3}$ , $ 1.05986 \cdot 10^{-1}$ , $ 2.60815 \cdot 10^{0}$ , $ 6.41826 \cdot 10^{1}$ 
$5\cdot10^{10}$ , $ 6\cdot10^{10}$ , $ 7.53086 \cdot 10^{-6}$ , $ 1.85559 \cdot 10^{-4}$ , $ 4.57216 \cdot 10^{-3}$ , $ 1.12657 \cdot 10^{-1}$ , $ 2.77586 \cdot 10^{0}$ , $ 6.83969 \cdot 10^{1}$ 
$6\cdot10^{10}$ , $ 7\cdot10^{10}$ , $ 5.71466 \cdot 10^{-6}$ , $ 1.42491 \cdot 10^{-4}$ , $ 3.55293 \cdot 10^{-3}$ , $ 8.85900 \cdot 10^{-2}$ , $ 2.20893 \cdot 10^{0}$ , $ 5.50783 \cdot 10^{1}$ 
$7\cdot10^{10}$ , $ 8\cdot10^{10}$ , $ 5.39050 \cdot 10^{-6}$ , $ 1.34922 \cdot 10^{-4}$ , $ 3.37702 \cdot 10^{-3}$ , $ 8.45253 \cdot 10^{-2}$ , $ 2.11563 \cdot 10^{0}$ , $ 5.29532 \cdot 10^{1}$ 
$8\cdot10^{10}$ , $ 9\cdot10^{10}$ , $ 4.35507 \cdot 10^{-6}$ , $ 1.09446 \cdot 10^{-4}$ , $ 2.75045 \cdot 10^{-3}$ , $ 6.91859 \cdot 10^{-2}$ , $ 1.74250 \cdot 10^{0}$ , $ 4.38862 \cdot 10^{1}$ 
$9\cdot10^{10}$ , $ 10\cdot10^{10}$ , $ 4.10662 \cdot 10^{-6}$ , $ 1.03589 \cdot 10^{-4}$ , $ 2.61301 \cdot 10^{-3}$ , $ 6.59129 \cdot 10^{-2}$ , $ 1.66264 \cdot 10^{0}$ , $ 4.19399 \cdot 10^{1}$ 
